author,title
"Нил Деграсс Тайсон","Космические хроники, или почему инопланетяне до сих пор нас не нашли"
"Дава Собел","Более совершенные небеса. Как Николай Коперник заново сотворил нашу Вселенную"
"Нил Деграсс Тайсон","Послание звезд. Космические перспективы человечества"
"Дава Собел","Стеклянный небосвод: как женщины Гарвардской обсерватории измерили звезды"
"Антон Первушин","Космическая мифология: от марсианских атлантов до лунного заговора"
"Карло Ровелли","Гельголанд. Красивая и странная квантовая физика"
"Лидия Галль","Квант мироздания. Квантовая физика и биоэнергетика живых организмов"
"Михаил Полуэктов","Загадки сна: от бессонницы до летаргии"
"Борис Штерн","Феникс сапиенс"
"Джон Гриббин","Шесть невозможностей: загадки квантового мира"
"Николя Жизан","Квантовая случайность: нелокальность, телепортация и другие квантовые чудеса"
"Борис Штерн","Ледяная скорлупа"
"Нил Деграсс Тайсон","История всего. 14 миллиардов лет космической эволюции"
"Нил Деграсс Тайсон","Астрофизика с космической скоростью. Великие тайны Вселенной для тех, кому некогда"
"Говерт Шиллинг","Слон во Вселенной. 100 лет в поисках темной материи"
"Константин Циолковский","Философия Вселенной"
"Константин Циолковский","Грезы о земле и небе"
"Константин Циолковский","Воля Вселенной"
"Константин Циолковский","Космическая философия"
"Нил Деграсс Тайсон","Добро пожаловать во Вселенную. Большой путеводитель по Вселенной для зануд"
"Борис Штерн","Прорыв за край мира"
"Михаил Шевченко","Луна. Наблюдая за самым знакомым и невероятным небесным объектом"
"Алекс Виленкин, Делия Перлов","Космология для любопытных. Полный курс науки о космосе"
"Эрвин Шредингер","Что такое жизнь?"
"Андрей Колмогоров","Введение в теорию вероятностей"
"Митио Каку","Физика будущего"
"Игорь Лисов","Разведчики внешних планет: путешествие Пионеров и Вояджеров от Земли до Нептуна и далее"
"Томас Стаффорд, Майкл Кассутт","Есть стыковка! История первого рукопожатия СССР и США в космосе"
"Юджин Сернан","Последний человек на Луне"
"Дэвид Дойч","Начало бесконечности. Объяснения, которые меняют мир"
"Митио Каку","Физика невозможного"
"Митио Каку","Гиперпространство: научная одиссея через параллельные миры, дыры во времени и десятое измерение"
"Митио Каку","Параллельные миры: Об устройстве мироздания, высших измерениях и будущем космоса"
"Митио Каку","Уравнение Бога: в поисках теории всего"
"Митио Каку","Квантовое превосходство: революция в вычислениях, которая изменит всё"
"Мартин Рис","Всего шесть чисел. Главные силы, формирующие Вселенную"
"Дэвид Дойч","Структура реальности: наука параллельных вселенных"
"Карл Саган","Голубая точка. Космическое будущее человечества"
